device_id,name,manufacturer,category,type,_source,_source_sub,is_new_vs_neurotool,is_new_vs_existing,Code,inner_diameter_in,outer_diameter_in,length_cm,length,minid,maxod,Proximal OD (F),Distal OD (F),Vessel diameters,Description,comments,Comments,material,Materials Used,design,Coil Type,url1,url2,AV Connection,Access,Acute or Chronic,Adjunctive Procedures,Antithrombogenic,Antithrombogenic (Yes/No),Aorto-Uni-Iliac/Converter Length (cm),Aorto-Uni-Iliac/Converter Proximal Diameter (mm),Approach,Arch Width (mm),Balloon Diameter (mm),Balloon Diameters (mm),Balloon Lengths (cm),Balloon Lengths (mm),Balloon Nominal Pressure (atm),Balloon Rated Burst Pressure (atm),Balloon Working Length (mm),Barrel Volume (mL),Blade Range (mm),Branch Diameter (mm),Branched Design,CE Mark Indication,CE Mark Indications,CT artefacts,Cannula Size (F),Catheter Carrier System ID (F),Catheter Endhole Diameter ID (inch),Catheter Length (cm),Catheter Size (F),Catheter Size/Length (F/cm),Catheter Type,Catheter Usable Length (cm),Catheter Working Length (cm),Cautions,Cell Design,Coated (Yes/No),Coating Type,Coil Diameter (mm),Coil Length (cm),Color,Color Coded,Common Iliac Artery Length (cm),Components,Composition,Crossing Profile (inch),Crossing Profile (mm),Crown Diameter (mm),Cuff Diameter (mm),Cuff Length (cm),Curved or Straight,Curved/Straight,Delivery Cable Length (cm),Delivery Sheath OD (F),Delivery System,Delivery System Length (cm),Delivery System Profile: Device OD (mm),Delivery System Profile: Device Outer Diameter (F),Design,Detachment,Device Diameter (mm),Device Height (mm),Device Length (mm),Device Shape,Device Size (mm),Diameter (inch),Diameter (mm),Diameters (mm),Dilator Construction,Dilator Length (cm),Distal Device Diameter (mm),Distal Size (F),Drug Concentration (µg/mm2),Drug Delivered,Drug Type,Durometer,Electrode Design,Embolic Protection Device,Energy Source,Excipient Type,External Artery Length (cm),Firing Scheme,Fistula Site(s),Fixation Location,Flexible Tip Length (cm),Gauge,Graft Material,Guide Catheter Compatibility (F),Guidewire Compatibility (inch),Hydrophilic Coated,Hydrophilic Coating,Hydrophilic Coating (Yes/No),Iliac Leg Extensions Diameter (mm),Iliac Leg Extensions Length (cm),Iliac Limb Diameter (mm),Iliac Limb Length (cm),Imaging Diameter (mm),Imaging Guidance,Indicated Caval Diameter (mm) (based on average caval diameter),Internal Diameter (inch),Introducer Size (F),Latch Type,Length (cm),Length (mm),Lengths (cm),Luminescent Gauge (Yes/No),Main Body Delivery System Profile: Device OD (F),Main Body Diameter (mm),Main Body Extensions Diameter (mm),Main Body Extensions Length (cm),Main Body Length (cm),Material,Material Used,Max Pulses/Max Cycles (pulses per cycle),Maximum Deployed Length (mm),Maximum Guidewire (inch),Maximum Guidewire Compatibility (inch),Maximum Guidewire Size (inch),Maximum Inflated Balloon Diameter (mm),Maximum Tip Diameter (mm),Maximum Wire Compatibility,Maximum Wire Compatibility (inch),Measuring Increments,Mechanism of Action,Method of Detachment,Middle Size (F),Minimum Guide Catheter ID (F),Minimum Guide Catheter ID (inch/mm),Minimum Guide Catheter Size (F),Minimum Guiding Catheter (F),Minimum Guiding Catheter ID (inch),Minimum Microcatheter (inch),Minimum Sheath Diameter (F),Minimum Vessel Diameter (mm),Modality,Mode of Operation,Nitinol Reinforced Section Diameter (mm),Nitinol Reinforced Section Length (cm),Nominal Pressure (atm),Number of Catheter Sizes,Number of Lumens,Occluders Diameter (mm),Outflow,Parent Vessel Diameter (mm),Permanent/Retrievable,Polymer,Polymer Cartridge Size (mL),Polymer Type,Position,Preparation,Pressure Range (atm),Proximal Device Diameter (mm),Proximal Size (F),Puncture Size (F),Radiopaque Tip,Radiopaque Tip (Yes/No),Rated Burst Pressure (atm),Recommended Catheter Sizes (ID) (inch),Recommended Delivery Catheter Sizes (ID) (inch),Recommended Guide Catheter Size (inch),Recommended Guidewire (inch),Recommended Guidewire Size (inch),Recommended Introducer Size (F),Recommended Vessel (mm),Research,Resheathable,Safety Mechanisms,Shaft Diameter (mm),Shaft Distal Section (F),Shaft Length (cm),Shaft Length (mm),Sheath Compatibility (F),Sheath Length (cm),Sheath Required for Delivery,Sheath Size (F),Sideholes (Yes/No),Size (F),Sizes,Sizes (mm),Sizes (µm),Snare Length (cm),Snare Type,Stent Diameter (mm),Stent Diameters (mm),Stent Expansion,Stent Length (mm),Stent Lengths (mm),Stent Material,Straight Stent Diameters (mm),Straight Stent Lengths (mm),Strengths,Support Catheter Construction,Surface coating,Tapered Stent Diameters (Proximal/Distal) (mm),Tapered Stent Lengths (mm),Technology,Threads,Tip,Tip Length (cm),Tip Length (mm),Tip Type,Tip-to-Cuff Insertion Length (cm),Type,"Type (Detachable, Pushable)",Type (Fixed or Movable Core),Type of Catheter Construction,Type of Special Access,US FDA Indicated Use,Variety of Selective Shapes,Vascular Graft Section Introducer Size (F),Vascular Graft Section Recommended Guidewire (inch),Vial Size (mL),Viscosity,Wavelength (nm),Wire Compatibility,Wire Diameters (inch),Wire Size (inch),Working Diameter (mm),Working Diameters (mm),Working Length (cm),category_name,category_slug,device_type,dmso,features,ifu,image,incompatibility,indications,materials,maxod_cat,minid_empirical,recommended,recommendedParentId,sizetable,specifications,stent diameter mm,stent length mm,subcategory,tablecaption,tip lengths,url,youtube
NT-0001,Trek Coronary Dilatation Balloon,Abbott,Balloon,Balloon,neurotool.org,us,,,,0.015,0.031496,145,145,0.015,0.031496,,,,,Used off-label for carotid stenosis,,,,,,https://www.cardiovascular.abbott/us/en/hcp/products/percutaneous-coronary-intervention/nc-trek-mini-coronary-dilation-catheters.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Available in balloon diameters 2.25 to 5.00, and lengths 6 to 30 mm (not all combinations are availably)",,,,,,,,,,,,,Rapid-exchange system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT-0002,Mini Trek Coronary Dilatation Catheter,Abbott,Balloon,Balloon,neurotool.org,us,,,,0.015,0.030184,145,145,0.015,0.030184,,,,,Used off-label for intracranial stenosis,,,,,,https://www.cardiovascular.abbott/us/en/hcp/products/percutaneous-coronary-intervention/nc-trek-mini-coronary-dilation-catheters.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Available in balloon diameters 1.20 to 2.00, and lengths 6 to 30 mm (not all combinations are availably)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT-0003,Xact Carotid Stent System,Abbott,Stent,Stent,neurotool.org,us,,,,0.015,0.075,135,135,0.015,0.075,,,4.8 - 9.1 mm,"""The Xact Carotid Stent System (Xact), used in conjunction with the Emboshield Embolic Protection System is indicated for the improvement of the lumen diameter of carotid arteries in patients considered at high risk for adverse events from carotid endarterectomy who require percutaneous carotid angioplasty and stenting for occlusive artery disease and meet the criteria outlined below:

Patients with carotid artery stenosis (≥ 50% for symptomatic patients by ultrasound or angiography or ≥ 80% for asymptomatic patients by ultrasound or angiography), located between the origin of the common carotid artery and the intra-cranial segment of the internal carotid artery AND

Patients must have a reference vessel diameter ranging between 4.8 mm and 9.1 mm at the target lesion.""",,,Nitinol,,Laser-cut closed-cell nitinol tube with variable cell size,,https://www.cardiovascular.abbott/us/en/hcp/products/peripheral-intervention/xact-carotid-stent-system.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""Size"":""7.0"",""Code for 20 mm"":""82095-01"",""Code for 30 mm"":""82094-01"",""Code for 40 mm"":""N/A"",""ICA Reference Vessel Diameter (mm)"":""5.5-6.4"",""CCA Reference Vessel Diameter (mm)"":""N/A"",""Minimum Sheath / Guide Size"":""6F / 8F""},{""Size"":""8.0"",""Code for 20 mm"":""82093-01"",""Code for 30 mm"":""82092-01"",""Code for 40 mm"":""N/A"",""ICA Reference Vessel Diameter (mm)"":""6.4-7.3"",""CCA Reference Vessel Diameter (mm)"":""N/A"",""Minimum Sheath / Guide Size"":""6F / 8F""},{""Size"":""9.0"",""Code for 20 mm"":""82089-01"",""Code for 30 mm"":""82088-01"",""Code for 40 mm"":""N/A"",""ICA Reference Vessel Diameter (mm)"":""7.3-8.2"",""CCA Reference Vessel Diameter (mm)"":""N/A"",""Minimum Sheath / Guide Size"":""6F / 8F""},{""Size"":""10.0"",""Code for 20 mm"":""82099-01"",""Code for 30 mm"":""82098-01"",""Code for 40 mm"":""N/A"",""ICA Reference Vessel Diameter (mm)"":""8.2-9.1"",""CCA Reference Vessel Diameter (mm)"":""N/A"",""Minimum Sheath / Guide Size"":""6F / 8F""},{""Size"":""6.0-8.0 taper"",""Code for 20 mm"":""N/A"",""Code for 30 mm"":""82091-01"",""Code for 40 mm"":""82090-01"",""ICA Reference Vessel Diameter (mm)"":""4.8-5.5"",""CCA Reference Vessel Diameter (mm)"":""6.4-7.3"",""Minimum Sheath / Guide Size"":""6F / 8F""},{""Size"":""7.0-9.0 taper"",""Code for 20 mm"":""N/A"",""Code for 30 mm"":""82087-01"",""Code for 40 mm"":""82086-01"",""ICA Reference Vessel Diameter (mm)"":""5.5-6.4"",""CCA Reference Vessel Diameter (mm)"":""7.3-8.2"",""Minimum Sheath / Guide Size"":""6F / 8F""},{""Size"":""8.0-10.0 taper"",""Code for 20 mm"":""N/A"",""Code for 30 mm"":""82097-01"",""Code for 40 mm"":""82096-01"",""ICA Reference Vessel Diameter (mm)"":""6.4-7.3"",""CCA Reference Vessel Diameter (mm)"":""8.2-9.1"",""Minimum Sheath / Guide Size"":""6F / 8F""}]",,,,,Catalogue,,,
NT-0004,Rx Acculink Carotid Stent,Abbott,Stent,Stent,neurotool.org,us,,,,0.015,0.078,126,126,0.015,0.078,,,,,,,,,Laser-cut open cell nitinol tube with longitudinal spines,,https://www.cardiovascular.abbott/us/en/hcp/products/peripheral-intervention/rx-acculink-carotid-stent-system.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT-0005,NeuroSpeed PTA Balloon Catheter,Acandis,Balloon,Balloon,neurotool.org,us,,,,0.0165,0.048556,150,150,0.0165,0.048556,,,,"""The NeuroSpeed® PTA Balloon Catheter is indicated for dilatation of a stenosis in the cerebral arteries in order to improve perfusion.""",,,,,,,https://www.acandis.com/en/ischemic-stroke/neurospeed-pta-balloon-catheter/,https://www.acandis.com/down/uploads/neurospeed-data-sheet_263_1518194960.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT-0006,NeuroBridge 39,Acandis,Catheter,Catheter,neurotool.org,us,,,,0.039,0.055,131 / 141 / 151,131 / 141 / 151,0.039,0.055,,,,"""The NeuroBridge® is a multi-functional intermediate catheter, which offers support and stability for microcatheters and is also suitable for aspiration. """,,,,,,,https://www.acandis.com/neurobridge-intermediate-catheter-131-en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT-0007,NeuroBridge 52,Acandis,Catheter,Catheter,neurotool.org,us,,,,0.052,0.07,111 / 121 / 131 / 141,111 / 121 / 131 / 141,0.052,0.07,,,,"""The NeuroBridge® is a multi-functional intermediate catheter, which offers support and stability for microcatheters and is also suitable for aspiration. """,,,,,,,https://www.acandis.com/neurobridge-intermediate-catheter-131-en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT-0008,NeuroBridge 65,Acandis,Catheter,Catheter,neurotool.org,us,,,,0.065,0.083,111 / 121 / 131,111 / 121 / 131,0.065,0.083,,,,"""The NeuroBridge® is a multi-functional intermediate catheter, which offers support and stability for microcatheters and is also suitable for aspiration. """,,,,,,,https://www.acandis.com/neurobridge-intermediate-catheter-131-en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT-0009,NeuroSlider 17,Acandis,Microcatheter,Microcatheter,neurotool.org,us,,,,0.0165,0.027559,155,155,0.0165,0.027559,,,,,,,,,,,https://www.acandis.com/neuroslider-microcatheter-130-en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT-0010,NeuroSlider 21,Acandis,Microcatheter,Microcatheter,neurotool.org,us,,,,0.021,0.032808,155,155,0.021,0.032808,,,,,,,,,,,https://www.acandis.com/neuroslider-microcatheter-130-en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
